frame,A_x,A_y,A_r,H_x,H_y,H_r,M_x,M_y,M_r,R_x,R_y,R_r
499,784,516,4,131,374,4,504,698,8,1564,434,4
500,778,500,5,,,,404,719,9,1559,435,4
501,771,485,4,134,375,4,360,728,8,1556,435,4
502,765,472,4,136,375,4,352,729,8,1553,435,4
503,759,464,6,136,375,4,365,725,8,1551,434,4
504,754,457,4,136,375,4,387,719,8,1550,434,4
505,,,,136,375,4,412,712,8,1549,433,4
506,745,450,4,135,375,4,434,706,8,,,
507,737,447,4,135,375,4,453,700,9,1046,420,5
508,,,,134,375,4,467,697,8,732,413,5
509,,,,134,375,4,453,709,17,562,410,6
510,,,,134,374,4,496,711,4,486,423,5
511,,,,134,374,4,,,,,,
512,,,,134,373,4,1099,663,5,461,455,8
513,,,,133,373,4,1476,632,5,470,480,9
514,,,,133,373,4,1682,613,4,493,502,7
515,,,,,,,1769,605,5,521,516,4
516,,,,681,412,6,1780,603,4,550,521,5
517,745,495,5,1038,446,7,,,,572,524,7
518,755,529,6,1243,472,4,1151,658,5,,,
519,765,552,5,1343,494,6,727,681,4,582,532,4
520,779,566,4,1368,505,8,,,,585,539,6
521,791,575,5,1352,511,7,711,659,4,588,543,6
522,805,584,7,1315,515,6,723,648,6,587,553,4
523,816,591,5,1270,517,7,750,647,6,582,563,5
524,,,,1228,522,7,781,649,6,577,570,6
525,,,,1193,527,7,810,658,6,,,
526,,,,1163,534,6,835,668,6,568,588,5
527,,,,1143,544,7,853,681,6,558,605,7
528,848,624,7,1132,554,9,867,695,6,,,
529,870,652,7,1127,564,5,875,710,6,546,630,5
530,887,675,6,1123,577,5,879,714,5,533,645,5
531,898,693,7,1122,594,9,879,708,5,521,643,6
532,905,704,5,1124,613,9,877,697,5,512,634,4
533,915,700,4,1127,631,9,875,682,7,502,617,5
534,,,,1129,651,9,873,669,4,494,600,5
535,929,679,7,1131,664,7,869,655,5,484,585,4
536,,,,1135,663,7,865,644,6,475,571,5
537,950,651,5,1141,653,7,862,634,6,465,559,5
538,,,,1146,635,9,859,625,9,457,548,5
539,,,,1150,618,6,855,620,9,448,540,7
540,,,,1153,600,7,,,,439,535,6
541,,,,1158,586,9,778,640,4,430,531,7
542,,,,1164,573,8,,,,421,528,7
543,994,614,4,1167,558,7,802,624,9,412,528,5
544,,,,1172,554,9,817,615,5,403,528,6
545,1027,587,7,1174,548,9,,,,,,
546,1050,572,6,1177,545,9,872,613,4,390,531,4
547,1065,566,7,1182,541,8,,,,380,533,6
548,1075,566,7,1186,540,12,861,611,8,370,534,6
549,1080,567,4,1190,541,9,851,611,7,362,538,6
550,1086,573,7,1192,543,10,842,614,7,356,542,7
551,1092,580,8,1197,547,9,836,618,8,347,549,5
552,,,,1202,550,10,830,623,6,340,556,4
553,1107,593,4,1205,556,10,826,630,7,334,563,5
554,1116,606,7,1209,563,8,822,636,7,329,571,4
555,1124,616,8,1213,570,7,819,644,6,321,580,7
556,1131,625,6,1217,579,9,816,652,5,314,590,6
557,1140,633,4,1222,589,10,814,661,5,307,603,7
558,1147,650,5,1226,600,9,813,670,5,300,614,6
559,1156,662,9,1229,612,8,811,679,6,292,625,4
560,1162,669,4,1233,629,9,810,686,5,,,
561,1172,683,8,1237,644,8,809,684,4,1023,523,4
562,1180,696,4,1241,664,11,807,677,5,,,
563,,,,1246,682,11,805,667,5,733,554,6
564,1196,693,6,1249,704,10,803,656,7,514,572,6
565,,,,1253,726,10,803,645,6,360,580,5
566,1213,678,7,1256,725,9,801,636,7,260,581,4
567,1226,662,4,1261,719,10,799,630,8,,,
568,,,,1267,707,6,798,624,7,195,577,5
569,,,,1272,690,10,797,620,7,162,571,7
570,1254,641,4,1278,675,8,796,616,6,149,566,6
571,,,,1283,657,10,795,615,6,147,562,6
572,1274,625,7,1288,646,8,792,614,6,150,558,6
573,1290,614,7,1293,633,10,790,615,5,155,557,5
574,1301,609,7,1298,627,9,789,615,5,159,556,7
575,1311,607,8,1305,619,10,788,616,6,162,557,6
576,,,,1310,620,10,785,617,4,,,
577,1324,609,8,1315,617,10,783,620,5,910,486,5
578,1334,613,7,1320,620,10,,,,1382,442,5
579,1343,619,8,1326,621,10,780,625,5,1645,417,5
580,1351,625,8,1331,628,11,778,630,5,1762,407,5
581,1358,632,8,1337,632,11,775,636,5,1787,405,6
582,1365,640,7,1341,642,11,774,640,6,1757,409,6
583,1373,649,7,1347,652,12,771,645,6,1702,414,6
584,1381,658,9,1352,664,10,771,651,7,1641,420,6
585,1387,667,4,1357,676,10,769,657,6,1583,426,5
586,,,,1363,690,10,768,662,8,1536,431,5
587,,,,1369,705,11,766,663,5,1499,434,5
588,1408,689,4,1375,725,13,765,659,7,1474,437,6
589,1421,698,4,1380,746,13,764,653,6,1457,438,6
590,1433,698,7,1385,769,12,763,647,6,1447,439,6
591,1441,691,4,1391,792,13,760,641,6,,,
592,1452,680,4,1397,797,12,759,635,7,1443,439,6
593,1459,671,4,1403,793,12,758,629,6,1442,440,5
594,1467,664,9,1410,776,13,757,626,6,1442,439,6
595,1476,657,6,1417,763,13,757,623,5,1443,439,5
596,1486,649,9,1425,752,11,755,619,4,1445,439,5
597,1496,645,8,1432,736,13,754,618,4,1447,439,6
598,1502,642,4,1438,727,12,,,,1448,439,6
599,1512,642,8,1446,716,12,737,707,6,1450,439,6
600,1520,643,7,1455,713,13,,,,1451,439,6
601,1528,643,5,1463,708,12,655,755,10,1452,439,5
602,1535,650,4,1470,711,14,604,780,8,1452,438,5
603,1543,654,5,1477,720,10,580,790,7,1452,438,5
604,1553,659,8,1485,724,13,570,791,4,1452,438,5
605,1560,666,5,1491,735,12,571,785,5,1452,438,5
606,1568,672,5,1500,741,12,576,779,6,,,
607,1580,678,4,1508,753,13,583,773,7,1452,438,5
608,1589,687,7,1515,767,14,590,770,5,1452,438,5
609,1596,698,8,1522,784,12,597,767,5,1452,438,5
610,1603,709,8,1529,799,13,,,,1452,438,5
611,1611,713,5,,,,616,717,6,1452,438,5
612,1618,706,5,1089,615,9,,,,1453,438,5
613,1626,695,5,811,496,8,689,655,4,1453,438,5
614,1634,685,6,656,428,8,,,,1453,439,5
615,1643,677,8,,,,679,647,4,1453,439,5
616,1652,670,8,,,,669,646,4,1452,439,5
617,1659,664,5,,,,,,,1452,439,5
618,1668,660,8,,,,650,694,4,1452,439,5
619,1677,658,8,601,580,5,638,726,4,1451,439,5
620,1685,657,7,,,,630,748,6,1451,439,5
621,1693,657,6,587,505,16,,,,,,
622,,,,604,459,16,541,725,10,1452,439,5
623,1703,660,4,635,435,16,488,710,11,1452,439,5
624,,,,670,427,16,459,700,11,1452,439,5
625,,,,703,427,16,447,693,11,1452,439,5
626,,,,730,433,16,447,689,10,1452,439,5
627,,,,751,440,16,452,688,10,1451,438,5
628,,,,766,447,16,459,688,10,1451,438,5
629,,,,775,455,16,467,689,10,1451,438,5
630,,,,781,460,16,473,690,11,1451,438,5
631,1566,645,4,784,463,16,478,692,11,1451,438,5
632,,,,784,467,16,480,692,10,1451,438,5
633,,,,784,468,16,484,693,11,1452,438,5
634,,,,783,469,16,486,693,12,1452,438,5
635,,,,,,,487,694,11,1453,438,5
636,,,,782,469,16,,,,,,
637,,,,781,469,16,574,722,4,1452,439,5
638,,,,780,469,16,,,,1452,439,5
639,,,,779,469,16,1053,709,4,1452,439,5
640,,,,779,469,16,1348,700,4,1452,439,6
641,,,,779,469,16,,,,1452,439,5
642,,,,778,468,16,997,695,11,1452,439,5
643,,,,778,468,16,743,692,11,1451,439,5
644,,,,778,468,16,576,693,13,1452,439,6
645,,,,778,468,16,475,693,13,1452,439,5
646,,,,778,468,16,422,694,13,1452,439,5
647,,,,778,467,16,402,694,13,1452,439,5
648,,,,778,467,16,401,693,12,1451,438,5
649,,,,778,467,16,412,693,12,1451,438,5
650,,,,,,,427,693,12,1451,438,5
651,,,,778,467,16,443,693,12,,,
652,,,,778,467,16,457,693,12,1451,438,5
653,,,,778,467,16,469,693,12,1451,438,5
654,,,,778,468,16,477,693,11,1451,438,5
655,,,,778,468,16,482,693,11,1451,438,5
656,,,,777,469,16,,,,1451,438,5
657,,,,777,469,16,665,686,5,1451,438,5
658,,,,778,468,16,,,,1451,439,5
659,,,,778,468,16,794,687,4,1451,439,5
660,,,,778,468,16,,,,1452,439,5
661,,,,778,468,16,827,734,5,1452,439,5
662,,,,778,469,16,836,762,5,1452,439,5
663,,,,777,469,16,829,778,4,1452,439,5
664,,,,777,469,16,,,,1452,439,5
665,,,,,,,1409,764,6,1453,439,5
666,,,,,,,1766,752,6,,,
667,,,,,,,1958,742,6,1509,436,4
668,,,,550,610,5,2037,735,6,1545,435,4
669,,,,,,,2044,732,7,1565,434,4
670,,,,634,558,16,2012,729,7,1574,433,4
671,,,,,,,1963,728,7,1575,433,4
672,,,,,,,1910,728,7,1573,433,5
673,,,,,,,1862,728,7,1569,434,4
674,,,,,,,1823,729,7,1564,434,5
675,,,,,,,1794,729,7,1560,434,5
676,,,,,,,1774,730,5,1556,434,5
677,,,,,,,1761,731,5,1553,434,5
678,,,,,,,1753,731,5,1551,434,5
679,,,,,,,,,,1549,434,5
680,,,,,,,1173,677,5,1548,435,5
681,,,,,,,810,644,5,,,
682,,,,699,517,16,612,624,5,1548,435,5
683,,,,,,,527,616,6,1548,435,5
684,,,,,,,514,615,5,1548,435,5
685,,,,,,,543,617,5,1548,434,5
686,,,,,,,590,620,6,1548,434,5
687,,,,,,,642,625,5,1548,433,5
688,,,,,,,690,629,6,1548,433,5
689,,,,,,,730,633,6,1548,433,5
690,,,,636,652,4,758,635,4,1548,434,5
691,,,,,,,,,,1548,434,5
692,,,,705,574,16,702,697,7,1548,435,5
693,,,,751,518,16,666,735,7,1548,435,5
694,,,,780,481,16,644,757,7,1548,435,5
695,,,,795,460,16,,,,1549,435,5
696,,,,801,449,16,638,729,4,,,
697,,,,801,446,16,,,,1581,436,5
698,,,,799,447,16,632,745,6,1602,437,4
699,,,,795,450,16,631,753,6,1614,437,5
700,,,,791,454,16,634,756,6,1619,438,5
701,,,,787,458,16,637,756,6,1620,438,4
702,,,,784,461,16,639,755,5,1618,438,4
703,,,,781,464,16,641,754,5,1616,438,5
704,,,,780,466,16,635,750,6,1613,438,5
705,,,,779,467,16,632,747,5,1610,438,5
706,,,,,,,633,744,5,1608,438,5
707,,,,778,468,16,634,743,6,1607,438,5
708,,,,778,468,16,637,742,8,1605,438,5
709,,,,778,468,16,639,743,7,1605,438,5
710,,,,778,468,16,643,741,6,1604,438,5
711,,,,778,468,16,645,743,4,,,
712,,,,778,468,16,649,744,4,1571,436,5
713,,,,778,468,16,651,744,4,1550,436,5
714,,,,,,,652,744,6,1539,435,5
715,,,,,,,656,744,7,1534,434,5
716,,,,778,468,16,662,741,5,1533,434,5
717,,,,778,468,16,,,,1535,434,5
718,,,,778,468,16,770,681,7,1538,434,5
719,,,,778,468,16,837,643,7,1541,435,5
720,,,,779,468,16,876,623,6,1544,435,5
721,,,,,,,893,614,6,1546,434,4
722,,,,,,,897,612,6,1548,435,5
723,,,,540,608,5,893,615,7,1549,435,5
724,,,,,,,887,620,6,1549,435,5
725,,,,,,,879,626,4,1550,434,5
726,,,,252,510,4,871,631,4,,,
727,,,,,,,,,,1492,437,5
728,,,,82,438,4,748,697,6,1457,438,6
729,,,,-1,389,4,691,742,5,1437,439,6
730,,,,-29,358,4,639,764,5,1428,439,6
731,1477,636,4,,,,615,773,4,1427,440,6
732,1427,631,4,,,,608,775,4,1429,439,6
733,1403,629,4,,,,,,,1433,439,6
734,1397,629,4,,,,613,772,4,1438,439,6
735,,,,,,,623,768,5,1443,439,6
736,,,,,,,635,762,6,1446,439,6
737,,,,124,541,6,646,758,6,1449,439,6
738,1542,690,5,262,666,4,655,754,7,1451,439,6
739,1639,731,7,,,,663,753,7,1452,439,6
740,1699,755,7,,,,680,753,5,1452,438,5
741,1731,768,8,,,,690,755,5,,,
742,1740,771,4,,,,,,,675,526,5
743,1740,773,7,,,,808,691,5,187,582,4
744,1736,765,6,565,593,16,882,650,4,-80,613,4
745,1727,761,10,,,,922,627,5,-196,628,4
746,1717,756,8,,,,940,617,4,-215,631,4
747,1709,753,7,373,482,4,944,615,5,-179,627,4
748,1702,752,8,,,,940,618,4,,,
749,1695,744,5,239,409,4,931,623,4,651,532,5
750,1689,740,7,,,,923,629,4,1201,468,5
751,1685,742,12,,,,915,634,4,1529,430,5
752,1681,742,9,154,366,4,,,,1697,410,5
753,1677,743,9,105,344,4,1418,689,7,1756,404,5
754,1673,747,8,81,337,4,1731,723,6,1750,404,5
755,1671,750,8,76,338,5,1904,743,7,1708,409,5
756,1670,753,8,80,343,4,1980,752,6,1653,415,5
757,1670,749,9,89,351,4,1992,755,6,1598,422,5
758,1670,748,9,,,,1968,754,5,1549,427,5
759,1669,748,9,262,554,5,1929,751,5,1511,432,5
760,1667,750,10,,,,1886,747,5,,,
761,1665,751,10,,,,1847,742,6,1540,433,4
762,1669,748,6,,,,1816,738,7,1557,433,4
763,1671,748,6,,,,1790,735,6,1565,434,4
764,1671,747,7,213,488,4,1774,733,7,1568,434,4
765,1668,751,11,177,438,4,1763,732,7,1566,434,4
766,1666,751,9,153,405,4,1757,731,7,1563,435,4
767,1665,752,10,138,384,4,,,,1560,435,4
768,1663,754,8,131,374,4,1259,680,5,1557,435,4
769,1662,757,8,128,370,4,949,648,4,1554,435,4
770,1661,759,8,,,,778,631,4,1551,435,4
771,1660,759,8,,,,705,624,4,1550,435,4
772,1658,757,12,,,,694,622,5,1549,435,4
773,1656,756,13,,,,718,625,4,1548,435,4
774,1653,753,9,,,,758,629,4,1548,435,4
775,1650,753,9,758,559,6,803,634,4,,,
776,1646,755,8,1157,682,6,844,637,4,757,522,5
777,1643,758,7,1381,753,7,877,640,4,261,576,5
778,1644,754,9,,,,903,643,4,-12,605,6
779,1643,752,9,,,,,,,-130,619,6
780,1643,752,9,,,,1428,741,9,-149,621,5
781,1644,754,12,,,,1758,802,9,-112,617,5
782,1641,756,11,,,,,,,-50,609,5
783,1639,757,10,,,,1036,800,7,19,602,5
784,1643,755,6,995,785,5,535,791,40,83,596,4
785,1644,753,7,,,,236,787,4,137,590,4
786,1644,753,7,,,,71,776,31,178,586,4
787,1642,755,7,901,825,4,27,770,7,207,583,5
788,1640,756,9,,,,64,753,4,227,580,5
789,1639,758,9,,,,100,748,5,239,579,5
790,1636,761,9,864,664,17,,,,245,580,4
791,1635,763,9,834,552,17,529,688,5,248,580,4
792,1634,765,8,811,481,17,815,650,5,249,580,5
793,1630,760,5,794,441,17,987,629,5,249,581,5
794,1628,757,7,783,423,17,1076,620,4,248,581,5
795,1627,759,11,777,420,17,1110,619,5,247,581,6
796,1624,759,10,774,423,17,1110,622,4,247,581,6
797,1622,760,9,773,431,17,1091,627,4,247,580,5
798,1620,762,9,773,440,17,1065,632,4,248,579,5
799,1616,765,8,774,448,17,1039,637,4,249,578,5
800,1612,767,4,,,,1016,640,4,251,578,5
801,1614,763,10,,,,998,643,4,253,578,5
802,1615,762,10,,,,984,645,4,255,578,5
803,1615,762,9,,,,975,647,5,256,577,4
804,1614,763,10,775,455,17,971,648,4,258,577,5
805,1612,765,11,777,460,17,969,648,5,260,575,5
806,1611,767,10,778,464,17,969,648,5,263,575,5
807,1615,764,5,778,467,17,970,647,5,265,576,5
808,1616,762,6,,,,972,648,5,267,576,4
809,1610,768,4,778,468,16,975,647,5,270,576,4
810,1611,767,8,778,469,16,977,647,5,272,577,4
811,1611,765,9,777,470,16,979,648,5,273,577,4
812,1610,765,10,777,470,16,981,648,5,275,577,4
813,1608,766,10,777,470,16,982,648,5,276,577,4
814,1607,768,9,777,470,16,984,648,5,278,577,4
815,1606,770,9,777,469,16,986,648,5,,,
816,1605,772,9,777,470,16,987,648,5,1026,494,4
817,1601,775,4,777,470,16,988,648,5,1496,442,4
818,1598,770,8,779,469,17,990,648,5,1756,413,4
819,1597,770,13,779,468,17,991,648,5,1870,399,5
820,1594,769,9,779,468,16,992,648,5,1891,397,5
821,1591,768,10,,,,994,648,5,1859,400,5
822,1590,770,9,632,625,5,995,647,5,1802,406,5
823,1588,772,10,,,,996,647,4,1739,413,5
824,1584,775,6,513,718,4,997,647,4,1681,420,4
825,1584,777,9,445,769,4,999,647,5,1632,426,4
826,1587,773,9,,,,1000,647,5,1596,430,4
827,1587,771,9,586,640,16,1001,646,6,1570,433,4
828,1587,770,9,687,549,16,1002,646,5,1553,435,4
829,1586,771,10,752,489,16,1002,647,5,1544,436,4
830,1584,773,10,791,454,16,1001,646,5,,,
831,1584,776,9,810,437,16,1000,646,5,1539,437,4
832,1583,776,10,816,432,16,999,646,5,1538,436,4
833,1583,777,9,815,434,16,998,645,6,1539,436,5
834,1583,776,9,809,439,16,997,646,5,1540,435,5
835,1583,775,9,802,446,16,996,645,5,1542,436,4
836,1584,773,9,795,452,16,996,643,6,1543,435,4
837,1583,771,9,789,458,16,998,642,5,1544,435,4
838,1583,768,9,784,462,16,999,640,5,1547,435,5
839,1583,765,9,781,465,16,1001,637,5,1547,434,4
840,1583,761,9,779,467,16,1002,634,5,1548,435,4
841,1584,757,9,,,,1004,632,4,1549,435,4
842,1586,752,9,777,469,16,,,,1549,435,4
843,1590,747,9,777,469,16,505,704,6,1549,435,4
844,1594,742,10,776,470,16,192,750,7,1549,435,4
845,1600,736,9,776,470,16,21,775,7,,,
846,1612,736,4,776,469,16,-51,786,6,1549,435,4
847,1615,726,9,777,469,16,-62,788,7,1549,435,4
848,1619,718,9,777,468,16,-22,785,5,1549,435,4
849,1631,712,4,,,,11,764,9,1549,435,4
850,1640,703,5,695,635,9,50,750,8,1549,434,4
851,1646,693,5,640,733,9,58,746,14,1549,434,4
852,1641,683,7,605,778,10,99,738,9,1549,434,4
853,1645,672,6,586,787,10,131,731,11,1549,434,4
854,1646,661,6,580,774,12,153,727,11,1548,434,4
855,1645,653,6,,,,145,742,8,1548,434,4
856,1642,646,6,,,,141,752,8,1548,435,4
857,1638,640,6,,,,142,757,8,1548,435,4
858,1633,633,6,446,765,6,145,759,9,1548,436,4
859,1621,633,5,,,,151,760,9,1548,436,4
860,1609,624,7,366,753,6,158,761,10,,,
861,1599,617,7,326,741,6,168,744,7,1548,436,4
862,1592,612,7,,,,174,734,12,1548,435,4
863,1586,608,6,457,671,12,176,727,12,1548,435,4
864,1580,606,7,554,622,12,176,723,12,1548,435,4
865,1575,605,6,619,591,11,176,722,12,1548,436,4
866,1571,606,6,660,572,11,174,723,10,1549,436,4
867,1567,608,7,684,563,11,172,724,10,1549,436,4
868,1562,611,7,696,562,12,172,725,11,1549,436,4
869,1558,617,7,703,565,10,210,725,14,1549,436,4
870,1554,625,7,705,573,11,197,726,14,1549,436,4
871,1549,635,7,706,583,10,187,728,15,1549,436,4
872,1544,648,7,709,598,12,179,743,7,1549,436,4
873,1537,663,6,,,,175,753,10,1549,436,4
874,1527,678,5,384,473,4,175,757,10,1549,436,4
875,1512,700,10,178,395,4,179,759,11,,,
876,1493,718,8,62,353,4,,,,1491,437,5
877,1467,736,8,,,,659,699,6,1456,438,5
878,,,,372,526,7,961,662,5,1436,439,5
879,1420,752,5,587,661,5,1128,642,5,1427,439,5
880,,,,727,744,6,1200,634,5,1425,439,5
881,1341,753,10,826,789,8,1211,633,5,1428,439,5
882,1271,745,10,884,805,8,1189,638,5,1432,439,5
883,1210,735,7,917,796,7,1151,646,5,1437,439,5
884,1155,725,9,929,781,5,1110,655,5,1441,439,5
885,1109,715,7,932,758,8,1071,665,5,1445,439,5
886,1069,711,7,933,732,9,1040,677,5,1448,439,5
887,1032,708,7,935,710,9,1016,688,6,1450,439,5
888,,,,938,692,8,998,693,5,1451,439,5
889,979,706,6,940,681,7,987,695,5,1452,438,5
890,936,705,7,945,671,8,981,695,6,,,
891,905,703,6,950,665,8,977,694,6,1509,437,4
892,880,696,7,956,661,7,976,694,6,1545,436,4
893,860,691,5,963,657,6,975,695,6,1565,435,4
894,842,683,6,971,651,8,976,698,6,1574,435,4
895,826,679,8,977,644,6,976,701,6,1575,435,4
896,809,675,7,982,635,5,977,707,6,1572,434,4
897,791,674,7,990,629,7,978,714,6,1568,434,4
898,773,672,6,996,625,6,978,722,6,1563,434,4
899,755,674,8,1002,620,7,977,726,6,1559,434,4
900,,,,1007,617,8,977,727,6,1555,435,4
901,,,,1013,618,8,977,727,7,1553,435,5
902,,,,1018,620,7,975,726,6,1551,434,5
903,,,,1023,623,8,975,727,6,1550,434,5
904,696,672,5,1027,624,8,975,727,7,1549,434,5
905,,,,1030,622,7,975,730,6,,,
906,648,667,5,1033,616,7,975,734,7,1101,546,5
907,614,663,6,1036,610,8,974,739,7,831,619,7
908,595,661,4,1040,605,7,974,747,7,686,661,5
909,578,663,5,1042,601,8,975,754,8,634,685,5
910,565,664,6,1045,598,8,974,755,7,641,688,8
911,556,666,6,1047,598,7,973,755,6,676,683,5
912,549,668,4,1050,598,8,973,755,7,725,674,5
913,540,667,6,1053,600,8,972,756,7,782,663,7
914,532,665,5,1055,602,7,972,758,7,831,654,5
915,522,661,4,1058,602,7,971,761,7,877,649,9
916,512,658,4,1060,599,6,970,765,8,912,646,4
917,,,,1062,594,5,970,770,8,941,645,5
918,,,,1064,590,7,970,778,9,966,649,5
919,,,,1066,587,5,969,787,9,985,654,7
920,,,,,,,969,789,8,1003,655,6
921,468,657,5,753,670,5,968,791,7,1019,655,6
922,440,658,6,556,724,5,966,792,6,1033,653,4
923,419,656,4,446,754,5,966,792,9,1047,652,6
924,404,654,5,,,,967,794,9,1062,652,6
925,393,650,4,544,611,17,968,798,9,1077,653,5
926,383,647,5,627,516,17,968,803,9,1092,655,5
927,374,645,4,691,458,17,968,810,9,1107,661,4
928,364,644,5,737,428,17,968,820,10,,,
929,356,644,4,767,417,17,967,825,10,1382,530,4
930,347,645,5,785,418,17,966,828,9,1552,447,4
931,338,648,4,794,424,17,967,828,9,1643,401,4
932,329,649,4,797,434,17,967,829,10,1680,380,4
933,319,646,4,796,443,17,967,830,10,1683,376,4
934,308,642,5,794,451,17,968,833,10,1668,381,4
935,,,,791,457,17,968,837,10,1644,391,4
936,970,637,4,788,462,17,968,843,10,1620,401,4
937,1390,634,4,785,465,17,,,,1597,411,4
938,1625,633,4,783,467,17,831,766,4,1579,420,4
939,,,,,,,747,716,5,1565,426,4
940,1028,633,4,405,419,4,702,686,5,1556,431,4
941,605,637,4,167,389,4,,,,1550,434,4
942,,,,36,371,4,1303,734,9,1546,435,4
943,1037,636,4,-21,364,4,1689,769,9,,,
944,1324,635,4,-32,360,4,1911,793,9,1447,585,6
945,1495,635,4,-16,358,4,2017,808,9,1397,679,7
946,,,,,,,2045,816,9,1382,735,6
947,1582,635,4,582,465,5,2029,819,9,1389,764,4
948,1613,635,4,974,533,6,1990,819,9,1410,774,5
949,1609,635,4,1205,572,6,1945,818,9,1439,770,6
950,1588,635,4,1317,591,5,1901,816,9,1472,760,5
951,1559,635,4,1353,596,6,1864,814,9,1504,746,7
952,1530,635,4,1342,594,7,1836,812,9,1533,731,4
953,1505,635,4,1309,587,6,1815,810,9,1563,720,6
954,1485,635,4,1266,580,7,1801,809,9,1589,714,5
955,1470,635,4,1224,570,6,1793,808,9,1613,708,6
956,1461,636,4,1190,561,5,,,,1636,707,5
957,,,,,,,1768,762,7,1659,712,8
958,,,,1164,551,5,1753,733,7,1679,720,4
959,,,,,,,1747,717,7,1690,725,7
960,,,,943,501,17,1745,710,7,1693,727,6
961,,,,803,470,17,1746,709,7,1696,718,5
962,,,,724,452,17,1748,712,7,1692,720,5
963,1454,636,4,689,445,17,1750,714,6,1691,710,5
964,,,,681,444,17,1752,718,6,1683,711,6
965,,,,690,446,17,1754,721,6,1679,700,4
966,,,,706,451,17,1756,724,7,,,
967,,,,724,456,17,1757,726,6,1547,543,5
968,,,,,,,1758,728,7,1464,445,5
969,,,,703,593,4,1758,729,7,1418,391,5
970,,,,,,,1759,730,6,1397,368,5
971,,,,636,712,5,,,,1393,365,5
972,656,609,4,,,,1758,731,6,1398,372,5
973,,,,693,615,17,1758,731,6,1407,385,5
974,,,,734,544,17,1758,730,7,1418,398,5
975,,,,762,496,17,1758,729,7,1428,411,5
976,,,,779,468,16,1757,729,6,1437,421,5
977,,,,788,452,17,1759,730,6,1443,429,5
978,,,,792,445,17,1760,730,6,1448,434,6
979,,,,793,444,17,1760,731,5,1451,438,5
980,,,,791,447,17,1760,730,6,1452,440,5
981,173,612,4,789,451,17,1759,730,6,,,
982,,,,,,,1759,730,6,1548,583,9
983,,,,411,407,4,1759,729,7,1608,667,8
984,,,,172,379,4,1760,729,6,1639,709,6
985,,,,38,362,4,1761,729,6,1651,720,6
986,,,,-20,352,4,,,,1651,716,6
987,,,,,,,1760,729,6,1644,704,6
988,,,,344,404,17,1761,729,6,1633,689,6
989,,,,596,441,17,1761,729,6,1622,675,6
990,,,,756,464,17,1762,729,6,1610,663,4
991,467,677,4,845,477,17,1762,729,6,1600,654,4
992,,,,884,483,16,1762,729,6,1596,648,7
993,,,,892,485,16,1761,730,7,1591,643,5
994,,,,881,483,16,1761,730,7,1589,641,6
995,,,,863,481,16,1761,730,7,1586,641,4
996,,,,843,477,17,1761,730,7,1585,641,5
